Taşınmaz Tipi,Açıklama,Oda Sayısı,Metre Karesi,Yaş,Kat,Fiyat,Adres,İlan Tarihi
Daire,kayaşehirde satılık 2+1 satılık daire,2 + 1,85 m,8 Yaşında,Kot 1,"410,000","Başakşehir, Kayabaşı Mahallesi",3 Ekim 2020
Daire,kiptaş vaditepe 4. bölge güney cephe 3+1 118 m2,3 + 1,118 m,4 Yaşında,Giriş Katı,"625,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",15 Ağustos 2020
Daire,oyakkent 1 satılık 3+1 ara kat daire,3 + 1,135 m,12 Yaşında,2. Kat,"960,000","Başakşehir, Başakşehir Mahallesi",23 Eylül 2020
Daire,başakşehir emlak konut 1etap 2+1 satılık full yapılı daire,2 + 1,107 m,4 Yaşında,9. Kat,"765,000","Başakşehir, Kayabaşı Mahallesi",22 Ağustos 2020
Daire,kuryes grup'tan kelepir prestijli sitede lüx 4+1 satılık konut,4 + 1,191 m,4 Yaşında,8. Kat,"1,450,000","Başakşehir, Başakşehir Mahallesi",27 Ağustos 2020
Daire,metrokent 1+1 boş satılık daire,1 + 1,78 m,9 Yaşında,21 ve üzeri,"655,000","Başakşehir, Başak Mahallesi",26 Eylül 2020
Daire,kayaşehir 15.bölge satılık 118m² 3+1 temiz daire,3 + 1,118 m,10 Yaşında,3. Kat,"700,000","Başakşehir, Kayabaşı Mahallesi",27 Ağustos 2020
Daire,kayaşehir 3.bölge satılık 3+1 daire,3 + 1,118 m,10 Yaşında,6. Kat,"720,000","Başakşehir, Kayabaşı Mahallesi",14 Ağustos 2020
Daire,ayazma emlak konutları 5 parselde 2+1 devirli satılık daire,2 + 1,134 m,1 Yaşında,10. Kat,"360,000","Başakşehir, Ziya Gökalp Mahallesi",9 Temmuz 2020
Daire,dumankaya modern vadi satılık 1+1 daire,1 + 1,62 m,5 Yaşında,8. Kat,"250,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",22 Eylül 2020
Daire,bahçeşehir city court sitesinde bahçe katı tadilatlı daire,3 + 1,185 m,8 Yaşında,Bahçe Katı,"1,650,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",22 Ağustos 2020
Residence,ağaoğlu myworld europe 1+1 18.kat teras balkon,1 + 1,74 m,10 Yaşında,6. Kat,"525,000","Başakşehir, Ziya Gökalp Mahallesi",24 Ağustos 2020
Daire,boğazköyde içi özel yapılmış mantolamalı arakat ve balkonlu 2+1.,2 + 1,125 m,20 Yaşında,12. Kat,"397,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",28 Ağustos 2020
Daire,bahçekent emlak konut'ta teraslı güney cepheli ve kiracılı 1+1..,1 + 1,90 m,5 Yaşında,12. Kat,"239,900","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",24 Ağustos 2020
Residence,bahçeşehir bahçekent flora satılık 2+1 sahibinden,2 + 1,109 m,4 Yaşında,Yüksek Giriş,"645,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",24 Ağustos 2020
Daire,"başakşehir 2. etap'da şehir hastanesine yakın, 2+1 satılık daire",2 + 1,84 m,20 Yaşında,3. Kat,"525,000","Başakşehir, Başakşehir Mahallesi",16 Eylül 2020
Villa,bahçeşehir ıspartakule berit villa 5+1 satılık,5 + 1,320 m,20 Yaşında,10. Kat,"1,300,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",16 Temmuz 2020
Daire,bahçeşehir park evleri-hılpark 4+1 geniş teraslı satılık daire,4 + 1,200 m,5 Yaşında,Çatı Katı,"1,650,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",25 Ağustos 2020
Daire,bahçeşehir park hillpark gölet manzaralı teraslı 6+1 dubleks,6 + 1,320 m,10 Yaşında,1. Kat,"4,500,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",2 Eylül 2020
