Taşınmaz Tipi,Açıklama,Oda Sayısı,Metre Karesi,Yaş,Kat,Fiyat,Adres,İlan Tarihi
Daire,kale yapı'dan yatırıma uygun anahtar teslim sıfır 2+1 daireler!!,2 + 1,110 m,Sıfır Bina,2. Kat,"339,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",10 Ekim 2020
Daire,düden blokların da büyük balkonlu 1+1 tadilatlı daire,1 + 1,94 m,17 Yaşında,17. Kat,"560,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",21 Eylül 2020
Daire,beylikdüzü rota'dan bahçeşehir 2 kısımda 2+1 satılık daire,2 + 1,100 m,2 Yaşında,3. Kat,"299,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",9 Ekim 2020
Daire,rota'dan bahçeşehir 2 kısımda taşınmaya hazır satılık 3+1 daire,3 + 1,145 m,Sıfır Bina,2. Kat,"399,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Ekim 2020
Daire,beylikdüzü rota'dan bahçeşehir butik sitede 2+1 satılık daire...,2 + 1,105 m,Sıfır Bina,3. Kat,"299,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Ekim 2020
Daire,rota'dan bahçeşehir'de merkezi lokasyon siteiçi satılık 2+1daire,2 + 1,100 m,Sıfır Bina,4. Kat,"389,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",11 Ekim 2020
Daire,bahçeşehir 2. kısımda havuzlu sitede 1+1 lux satılık daire,1 + 1,75 m,Sıfır Bina,8. Kat,"139,500","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",11 Ekim 2020
Residence,başakşehir ayazma konutları satılık 4+1 kısa konut güney cephe,4 + 1,210 m,4 Yaşında,2. Kat,"2,000,000","Başakşehir, İkitelli OSB Mahallesi",10 Ekim 2020
Daire,emlak konut ayazma evleri kulede önü açık sabit taksitli 3+1,3 + 1,172 m,2 Yaşında,16. Kat,"850,000","Başakşehir, Ziya Gökalp Mahallesi",10 Ekim 2020
Residence,beylikdüzü değer'den finansmana özel siteiçi 60 ay vade seçeneği,2 + 1,110 m,Sıfır Bina,11. Kat,"219,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",10 Ekim 2020
Daire,3+1 merkezi konumda lüks daireler kale yapı'da!!!,3 + 1,145 m,Sıfır Bina,2. Kat,"459,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",10 Ekim 2020
Daire,kiptaş vaditepe 3. bölge ara kat tapulu boş satılık 2+1,2 + 1,121 m,Sıfır Bina,4. Kat,"685,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",10 Ekim 2020
Daire,şık ve ferah odaları ile yatırıma uygun fırsat 2+1 lüks daire!!!,2 + 1,115 m,Sıfır Bina,3. Kat,"299,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",10 Ekim 2020
Daire,mall of istanbul 1+0 panoramik daire شقة فاخرة للبيع,1 + 1,53 m,5 Yaşında,6. Kat,"500,000","Başakşehir, İkitelli OSB Mahallesi",10 Ekim 2020
Daire,rota'dan bahçeşehir 2. kısım da site içi satılık 3+1 daire,3 + 1,155 m,2 Yaşında,14. Kat,"899,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Ekim 2020
Daire,dumankaya modernde kiracılı iskanlı ve havuz cepheli ara kat 3+1,3 + 1,130 m,9 Yaşında,9. Kat,"685,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",4 Ekim 2020
Daire,marla gayrimenkul'den park mavera3 sıfır 5+1 satılık daire,5 + 1,225 m,Sıfır Bina,5. Kat,"2,700,000","Başakşehir, Kayabaşı Mahallesi",9 Ekim 2020
Daire,kayabaşı kiptaş konutlarında ismail selçuk'tan satılık daire 3+1,3 + 1,125 m,10 Yaşında,6. Kat,"680,000","Başakşehir, Güvercintepe Mahallesi",6 Ekim 2020
Daire,krediye ve oturuma uygun kapalı otoparkı bulunan fırsat dairee!!,2 + 1,115 m,Sıfır Bina,Yüksek Giriş,"275,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",8 Ekim 2020
Daire,acil acil acil...kale yapı acil satılık kelepir komisyon yok!!!!,3 + 1,145 m,Sıfır Bina,4. Kat,"289,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",9 Ekim 2020
Daire,huzzak konak residence'ta kaçırılmayacak 3+1,3 + 1,174 m,Sıfır Bina,7. Kat,"1,492,455","Başakşehir, Ziya Gökalp Mahallesi",8 Ekim 2020
Daire,bahçeşehirde %50 peşinat 60ay vade ile siteiçi satılık 2+1 daire,2 + 1,95 m,Sıfır Bina,7. Kat,"420,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",9 Ekim 2020
Daire,satılık 2+1 350.000 peşinatla daire,2 + 1,135 m,1 Yaşında,20. Kat,"350,000","Başakşehir, Ziya Gökalp Mahallesi",5 Ekim 2020
Daire,estonşehir 3 muhteşem manzaralı temiz 2+1satılık daire,2 + 1,110 m,10 Yaşında,1. Kat,"1,250,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",9 Ekim 2020
Daire,bahçeşehir spradon kule temiz 3+1 satılık daire,3 + 1,150 m,8 Yaşında,11. Kat,"865,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",5 Ekim 2020
Daire,ayazma emlak konutları 3+1satılık 178 m2 daire,3 + 1,178 m,1 Yaşında,2. Kat,"700,000","Başakşehir, Ziya Gökalp Mahallesi",5 Ekim 2020
Residence,mall of istanbulda satılık  1+1 residen شقة للبيع - إطلالة مسبح,1 + 1,83 m,5 Yaşında,12. Kat,"950,000","Başakşehir, İkitelli OSB Mahallesi",17 Eylül 2020
Daire,olimpa avm ve nurettin topçu ilkokulu yanında ara kat 2+1,2 + 1,110 m,14 Yaşında,2. Kat,"570,000","Başakşehir, Başakşehir Mahallesi",8 Ekim 2020
Daire,metrokent sarılık 4+1,4 + 1,195 m,10 Yaşında,Bahçe Katı,"1,970,000","Başakşehir, Kayabaşı Mahallesi",5 Ekim 2020
Daire,bahçeşehir 2.kısım mah.boğazköy de satılık 3+1 daire,3 + 1,150 m,15 Yaşında,3. Kat,"500,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",22 Eylül 2020
Daire,bahçeşehir kelebekler vadisi satılık 3+1 müstakil bahçeli daire,3 + 1,153 m,10 Yaşında,7. Kat,"1,400,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",17 Eylül 2020
Villa,beritlerde kent villa bahçeşehir merkezde satılık 5+1 villa,5 + 1,320 m,15 Yaşında,1. Kat,"1,300,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",19 Eylül 2020
Daire,marla gayrimenkul'den evvel istanbul 3+1 satıl daire,3 + 1,155 m,3 Yaşında,2. Kat,"1,200,000","Başakşehir, Kayabaşı Mahallesi",9 Ekim 2020
Daire,boğazköyde merkezi ısıtmalı krediye uygun arakat ve balkonlu 2+1,2 + 1,125 m,20 Yaşında,1. Kat,"365,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",18 Eylül 2020
Daire,villalar bölgesinde.. geniş bahçeli sitede.. kısa katlı binada..,3 + 1,165 m,17 Yaşında,11. Kat,"750,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",2 Ekim 2020
Residence,başakşehir ayazma konutları 4+1 kısa blok,4 + 1,210 m,4 Yaşında,Bahçe Katı,"1,750,000","Başakşehir, Ziya Gökalp Mahallesi",29 Eylül 2020
Daire,bahçeşehir moxsimoon evlerinde satılık 2+1 sitede,2 + 1,120 m,10 Yaşında,16. Kat,"420,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",15 Eylül 2020
Daire,ağaoğlu my world europe'de satılık 3+1 bahçe katı daire,3 + 1,156 m,7 Yaşında,2. Kat,"1,075,000","Başakşehir, Ziya Gökalp Mahallesi",2 Ekim 2020
Daire,ağaoğlu my world europe'de satılık 3+1 daire,3 + 1,169 m,7 Yaşında,10. Kat,"1,250,000","Başakşehir, Ziya Gökalp Mahallesi",23 Eylül 2020
Daire,rota yapı'dan bahçeşehir 2. kısım'da 2+1 acil satılık daire,2 + 1,100 m,Sıfır Bina,15. Kat,"339,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",10 Ekim 2020
Daire,başakşehir nidapark zümrüt a blok satılık 2+1 güney cephe,2 + 1,105 m,Sıfır Bina,2. Kat,"860,000","Başakşehir, Kayabaşı Mahallesi",14 Eylül 2020
Daire,bulvar istanbul şehir hastanesi yanı 3+1 teraslı satılık daire,3 + 1,174 m,4 Yaşında,7. Kat,"1,320,000","Başakşehir, Başakşehir Mahallesi",27 Eylül 2020
Daire,bahçeşehir tortum blokları 3+1 full tadilatlı satılık daire,3 + 1,202 m,20 Yaşında,6. Kat,"1,600,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",14 Eylül 2020
Residence,loca gölet manzaralı 3+1 büyük 3+1 1.700.000 tl,3 + 1,240 m,4 Yaşında,3. Kat,"1,700,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",21 Eylül 2020
Daire,bahçeşehir çınar b tipi 3+1 full tadilatlı site içinde daire,3 + 1,152 m,20 Yaşında,5. Kat,"1,000,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",22 Eylül 2020
Daire,kayaşehir 11.bölgede satılık daire,2 + 1,70 m,8 Yaşında,7. Kat,"375,000","Başakşehir, Kayabaşı Mahallesi",15 Eylül 2020
Villa,bahçeşehir konakları c tipi 4+1 dubleks tadilatlı satılık daire,4 + 1,280 m,5 Yaşında,Villa Katı,"4,500,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",20 Eylül 2020
Daire,ayazma emlak konutlarında sabit taksitli 3+1vadi cephe devirli,3 + 1,172 m,1 Yaşında,Villa Katı,"750,000","Başakşehir, Ziya Gökalp Mahallesi",5 Ekim 2020
Villa,bahçeşehir merkez de satılık köşe bakımlı a tipi villa,4 + 2,250 m,25 Yaşında,2. Kat,"1,775,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",16 Eylül 2020
Daire,bahçeşehir çınar yeni tadilatlı b tipi l salon 150m2 satılık 3+1,3 + 1,204 m,25 Yaşında,Villa Katı,"1,165,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",2 Ekim 2020
Villa,bahçeşehir kelebekler vadisi satılık tadilatlı full eşyalı villa,5 + 2,320 m,9 Yaşında,20. Kat,"4,150,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",11 Eylül 2020
Daire,mesa nurol kirazlıbahçe de 2+1 120m2 yüksek kat satılık daire,2 + 1,120 m,6 Yaşında,10. Kat,"855,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",27 Eylül 2020
Daire,bahçeşehir gül bölgesi full tadilatlı e tipi 3+1 satılık daire,3 + 1,200 m,25 Yaşında,Villa Katı,"1,175,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",28 Eylül 2020
Villa,bahçeşehir butik site tamamen yenilenmiş 5+2 satılık villa!,5 + 2,423 m,15 Yaşında,Villa Katı,"2,650,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",26 Eylül 2020
Villa,harika manzara.. otopark.. 3 mutfaklı.. sıfır villa.. finansman,5 + 2,360 m,16 Yaşında,Bahçe Katı,"2,000,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",2 Ekim 2020
Daire,bahçeşehir mabeyn 4+1 sıfır bahçe katı satılık daire,4 + 1,200 m,Sıfır Bina,3. Kat,"1,750,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",7 Ekim 2020
Daire,anahtar teslim krediye uygun geniş kullanımlı lüks 2+1 dairee!!,2 + 1,110 m,Sıfır Bina,10. Kat,"265,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",3 Ekim 2020
Daire,başakşehir kayaşehir satılık 3+1 daire 20 bölge boş tapulu,3 + 1,118 m,8 Yaşında,5. Kat,"695,000","Başakşehir, Kayabaşı Mahallesi",5 Ekim 2020
Daire,bulvar istanbul - göl etabı peyzaj manzaralı satılık 3+1 daire,3 + 1,165 m,4 Yaşında,11. Kat,"1,159,000","Başakşehir, Başakşehir Mahallesi",5 Ekim 2020
Daire,istanbul başakşehirde 2+1 satılık 11 inci kat,2 + 1,128 m,2 Yaşında,Ara Kat,"680,000","Başakşehir, Ziya Gökalp Mahallesi",2 Ekim 2020
Villa,bahcesehir 2.kısımda müstakil bahçeli villa,4 + 2,350 m,8 Yaşında,12. Kat,"2,150,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",18 Eylül 2020
Daire,bahçeşehir mesa nurol kirazlıbahçe sitesi satılık 3+1,3 + 1,180 m,9 Yaşında,8. Kat,"1,000,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",20 Eylül 2020
Daire,kayaşehir merkez avm karşısı satılık daire full tadilatlı,2 + 1,77 m,8 Yaşında,Bahçe Katı,"475,000","Başakşehir, Kayabaşı Mahallesi",15 Eylül 2020
Daire,ağaoğlu my world europe'de satılık 2+1 bahçe katı daire,2 + 1,137 m,7 Yaşında,Yüksek Giriş,"800,000","Başakşehir, Ziya Gökalp Mahallesi",22 Eylül 2020
Daire,bahçeşehir güllerde merkezde a tipi 4+1 satılık daire.,4 + 1,197 m,18 Yaşında,3. Kat,"920,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",26 Eylül 2020
Daire,ayazma emlak konut 2 de 95m2 2+1 güney batı cephe köşe daire,2 + 1,95 m,1 Yaşında,Bahçe Katı,"610,000","Başakşehir, Ziya Gökalp Mahallesi",26 Eylül 2020
Daire,kayaşehir 19.bölgede satılık kelepir daire,1 + 1,68 m,5 Yaşında,2. Kat,"300,000","Başakşehir, Başakşehir Mahallesi",27 Eylül 2020
Daire,başakşehir altınşehir mah. satılık 2+1 daire,2 + 1,115 m,2 Yaşında,Villa Katı,"365,000","Başakşehir, Altınşehir Mahallesi",14 Eylül 2020
Villa,bahçeşehir estonşehir 1.mah. cd ikiz dubleks 4+1 satılık villa,4 + 1,210 m,15 Yaşında,Villa Katı,"3,600,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",17 Eylül 2020
Daire,sahibinden 5.etap tarabya sitesinde arakat 90 m2 güneybatı cephe,2 + 1,90 m,8 Yaşında,7. Kat,"650,000","Başakşehir, Başak Mahallesi",24 Ağustos 2020
Villa,geniş bahçeli.. b tipi.. köşe.. ferah villa... finansman,4 + 2,360 m,15 Yaşında,Villa Katı,"1,250,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Ağustos 2020
Daire,başakşehir onurkent olimpa a.v.m yakın satılık 3+1 bakımlı daire,3 + 1,135 m,14 Yaşında,6. Kat,"570,000","Başakşehir, Başakşehir Mahallesi",5 Ekim 2020
Daire,bahçeşehir tam merkez defne tadilatlı 3+1 satılık daire,3 + 1,140 m,24 Yaşında,5. Kat,"965,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",1 Ekim 2020
Daire,bahçeşehir park hillpark gölet manzaralı 3+1 satılık daire,3 + 1,160 m,9 Yaşında,8. Kat,"1,750,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",5 Ağustos 2020
Villa,bahçeşehir estonşehir 5 te satılık villa,4 + 1,195 m,7 Yaşında,Villa Katı,"3,325,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",26 Eylül 2020
Villa,butik sitede.. geniş bahçeli.. havuza cephe villa.. finansman,5 + 2,420 m,15 Yaşında,Villa Katı,"2,600,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",17 Ağustos 2020
Villa,müstakil bahçe.. kapalı garaj.. havuz.. triplex villa- finansman,6 + 1,340 m,15 Yaşında,Villa Katı,"3,000,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",11 Ağustos 2020
Daire,bahçeşehir kelebekler vadisi satılık 3+1 bahçe dubleksi,3 + 1,176 m,10 Yaşında,Villa Katı,"1,250,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",31 Ağustos 2020
Villa,elit sitede- müstakil bahçeli- manzaralı- ferah- bakımlı villa,5 + 2,420 m,15 Yaşında,Villa Katı,"3,500,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Ağustos 2020
Daire,bahçeşehir şelale düden blokları 4+1 dubleks satılık daire,4 + 1,215 m,20 Yaşında,18. Kat,"1,500,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",22 Ağustos 2020
Villa,şömine.. 3 mutfak.. güvenlik.. havuz.. garaj- bahçeli köşe villa,5 + 2,360 m,15 Yaşında,Villa Katı,"1,850,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",26 Ağustos 2020
Villa,müstakil bahçe.. şömine.. panjur.. triplex villa.. finansman,5 + 1,320 m,15 Yaşında,Villa Katı,"1,920,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",4 Ağustos 2020
Daire,ağaoğlu my world 2+1 satılık 135 m2 peyzaj cephe,2 + 1,137 m,7 Yaşında,3. Kat,"890,000","Başakşehir, Ziya Gökalp Mahallesi",8 Ekim 2020
Villa,geniş ve müstakil bahçe.. butik sitede.. havuzlu.. dublex villa,3 + 1,204 m,15 Yaşında,Villa Katı,"3,000,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Ağustos 2020
Daire,tual bahçekent'te mustakil bahçeli tapusu hazır ve kiracılı 1+1.,1 + 1,105 m,1 Yaşında,Giriş Katı,"530,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Eylül 2020
Villa,kapalı garajlı sitede.. havuza cephe.. bahçeli villa.. finansman,4 + 2,360 m,15 Yaşında,Villa Katı,"1,650,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",20 Ağustos 2020
Daire,bahçeşehir mercedes karşısı bahçekent sitesi satılık 2+1 daire,2 + 1,105 m,2 Yaşında,5. Kat,"525,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",21 Ağustos 2020
Daire,emek emlaktan 13.bölgede 2+1 satlık ara kat daire 68 m²,2 + 1,70 m,7 Yaşında,2. Kat,"355,000","Başakşehir, Kayabaşı Mahallesi",30 Eylül 2020
Daire,başakşehir ağaoğlu my world europa'da satılık 4+1 daire,4 + 1,203 m,8 Yaşında,7. Kat,"1,325,000","Başakşehir, Ziya Gökalp Mahallesi",11 Ağustos 2020
Daire,butik sitede.. kısa katlı.. havuzlu.. güvenlikli.. eşsiz manzara,2 + 1,108 m,15 Yaşında,3. Kat,"575,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Ağustos 2020
Residence,başakşehir huzzak towers teraslı 2+1 satılık daire,2 + 1,160 m,3 Yaşında,1. Kat,"650,000","Başakşehir, Ziya Gökalp Mahallesi",14 Ağustos 2020
Daire,bahçekent avrupark'da tapulu vadi cephe 113 m2 satılık 2+1 daire,2 + 1,113 m,Sıfır Bina,9. Kat,"615,500","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",23 Ağustos 2020
Villa,bahçeşehirin en prestijli yeriflamingo yolunda muhteşem villa,6 + 2,400 m,20 Yaşında,Villa Katı,"6,750,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",26 Eylül 2020
Daire,nissa residence 2+1 extralı uygun fıyata satılık daire,2 + 1,128 m,5 Yaşında,Villa Katı,"650,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",9 Ekim 2020
Villa,iyi konumda.. müstakil girişli.. ferah.. sıfır.. bahçeli villa..,7 + 2,400 m,15 Yaşında,7. Kat,"1,500,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",29 Ağustos 2020
Villa,havuz.. güvenlik.. fitness.. bahçeli.. bakımlı villa.. finansman,4 + 2,360 m,15 Yaşında,4. Kat,"1,800,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",17 Ağustos 2020
Daire,bahçeşehir ıspartakule ılgaz blokarı 4+2 dubleks satılık daire,4 + 2,420 m,16 Yaşında,Villa Katı,"1,400,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",15 Ağustos 2020
Villa,bahçeşehir 2.kısımda havuzlu otoparklı muhteşem yeşillik içinde,5 + 2,360 m,11 Yaşında,9. Kat,"1,780,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",20 Ağustos 2020
Villa,butik sitede.. müstakil bahçeli.. dublex villa.. finansman'dan,4 + 1,204 m,15 Yaşında,Villa Katı,"2,650,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Ağustos 2020
Daire,başakşehir 1 etap 'da satılık 2+1 daire meydan ve peyzaja cephe,2 + 1,68 m,24 Yaşında,8. Kat,"425,000","Başakşehir, Başakşehir Mahallesi",9 Temmuz 2020
Villa,sıfır.. lüx.. eşsiz manzaralı.. ferah.. triplex 5+1 terasev,5 + 1,350 m,17 Yaşında,11. Kat,"1,450,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",29 Ağustos 2020
Daire,bahçeşehir'de akzirve strada'dan 2+1 hemen teslim,2 + 1,125 m,Sıfır Bina,6. Kat,"695,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",22 Mayıs 2020
Daire,bahçeşehir konakları 2.etap üst katlarda satılık 4+1,4 + 1,240 m,3 Yaşında,11. Kat,"1,450,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",24 Eylül 2020
Daire,bulvar istanbul göl etabı kısa katlarda üç cepheli satılık 4+1,4 + 1,191 m,3 Yaşında,5. Kat,"1,700,000","Başakşehir, Başakşehir Mahallesi",16 Eylül 2020
Daire,bahçeşehir mabeyn projesi 4+1 sıfır manzaralı satılık daire,4 + 1,234 m,Sıfır Bina,5. Kat,"1,500,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",9 Ekim 2020
Daire,başakşehir avrupa konutları 3.etap boş oturuma hazır 3+1 daire,3 + 1,170 m,2 Yaşında,7. Kat,"1,690,000","Başakşehir, Kayabaşı Mahallesi",4 Ekim 2020
Daire,bahçeşehir'de gül sitesi'nde 3+1 satılık daire,3 + 1,178 m,18 Yaşında,2. Kat,"900,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",5 Ekim 2020
Daire,mall of istanbul 2+1 eşyalı satılık daire 120 m2 للبيع,2 + 1,120 m,5 Yaşında,6. Kat,"1,450,000","Başakşehir, İkitelli OSB Mahallesi",8 Ekim 2020
Daire,değer yapı'dan luks site içinde satılık 2+1fırsatları,2 + 1,110 m,Sıfır Bina,5. Kat,"369,900","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",5 Ekim 2020
Residence,beylikdüzü değer'den 50 peşin kalanı 0 faiz 60 ay elden ödeme,2 + 1,110 m,Sıfır Bina,9. Kat,"214,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",4 Ekim 2020
Daire,rota'dan yüzde 50 peşinat kalanı elden ödeme 2+1site içi daire,2 + 1,105 m,Sıfır Bina,8. Kat,"189,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",7 Ekim 2020
Daire,ziya gökalp metro rezidans satılık 2+1 daire,2 + 1,110 m,4 Yaşında,5. Kat,"675,000","Başakşehir, Ziya Gökalp Mahallesi",7 Ekim 2020
Villa,bahçeşehir asmalı evlerde 4+1 köşe dubleks satılık villa,4 + 1,180 m,10 Yaşında,Villa Katı,"2,550,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",9 Ekim 2020
Daire,bahçeşehir gül adası a tipi manzaralı 4+1 satılık daire,4 + 1,180 m,20 Yaşında,5. Kat,"1,300,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",9 Ekim 2020
Daire,hayatpark plus satılık 4+1 daire arakat 240 m2 süper konum,4 + 1,240 m,5 Yaşında,7. Kat,"2,490,000","Başakşehir, Ziya Gökalp Mahallesi",4 Ekim 2020
Daire,"mall of istanbul eşyalı satılık 1,5+1 residence daire",2 + 1,85 m,10 Yaşında,19. Kat,"970,000","Başakşehir, Başakşehir Mahallesi",4 Ekim 2020
Daire,ağaoğlu my world europe'de satılık 2+1 daire,2 + 1,122 m,7 Yaşında,4. Kat,"860,000","Başakşehir, Ziya Gökalp Mahallesi",2 Ekim 2020
Villa,mimar dekorlu.. güvenlikli.. müstakil bahçeli villa.. finansman,5 + 2,360 m,15 Yaşında,Villa Katı,"2,500,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",17 Ağustos 2020
Daire,ağaoğlu my world europe'de satılık 2+1 daire,2 + 1,115 m,7 Yaşında,Villa Katı,"850,000","Başakşehir, Ziya Gökalp Mahallesi",23 Eylül 2020
Daire,başakşehir'in en iyi lokasyonunda satılık kira getirili daire,2 + 1,115 m,2 Yaşında,Villa Katı,"660,000","Başakşehir, Ziya Gökalp Mahallesi",3 Temmuz 2020
Villa,"green house'dan, bahçeşehir çınar villaları, a tipi, 4+1 240m2",4 + 1,240 m,26 Yaşında,9. Kat,"2,900,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",15 Ağustos 2020
Villa,havuzlu sitede - şömineli - ferah- bahçeli köşe villa- finansman,4 + 2,360 m,15 Yaşında,2. Kat,"1,650,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",4 Ağustos 2020
Daire,bahçeşehir vaditepe ön cephe manzara penthouse 3+1 satılık daire,3 + 1,165 m,5 Yaşında,1. Kat,"1,050,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",19 Ağustos 2020
Daire,kayaşehir 13 bölge satılık 2 kat 2+1 amerikan mutfak 69m2,2 + 1,75 m,4 Yaşında,En Üst Kat,"395,000","Başakşehir, Kayabaşı Mahallesi",17 Ağustos 2020
Daire,re/max experts 'ten güvercintepe fatih caddesinde 2+1 daire,2 + 1,100 m,3 Yaşında,Villa Katı,"380,000","Başakşehir, Güvercintepe Mahallesi",8 Eylül 2020
Daire,kayaşehir 13. bölge dy tipi 68 m2 satılık 2+1 daire,2 + 1,68 m,10 Yaşında,Yüksek Giriş,"370,000","Başakşehir, Kayabaşı Mahallesi",16 Ağustos 2020
Daire,bahçeşehir asmalı sokaklar da satılık şahane 3+1 bahçeli daire,3 + 1,125 m,6 Yaşında,10. Kat,"1,950,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",23 Eylül 2020
Daire,marla gayrimenkul'den park mavera 3 lüx proje satılık 2+1 daire,2 + 1,132 m,Sıfır Bina,6. Kat,"1,499,999","Başakşehir, Kayabaşı Mahallesi",4 Ekim 2020
Villa,bahçeşehir1. köşe bahçeli merkezi satılık villa,4 + 2,450 m,20 Yaşında,Giriş Katı,"2,650,000","Başakşehir, Bahçeşehir 1. Kısım Mahallesi",9 Ekim 2020
Daire,oyakkent 1 ---2+1--- satılık daire,2 + 1,112 m,12 Yaşında,7. Kat,"800,000","Başakşehir, Başakşehir Mahallesi",8 Ekim 2020
Residence,oturumluk & yatırımlık lüks rezidans - huzzak loca,3 + 1,175 m,Sıfır Bina,7. Kat,"1,357,000","Başakşehir, Ziya Gökalp Mahallesi",5 Ekim 2020
Residence,beylikdüzü değer'den finansmana özel siteiçi 60 ay vade seçeneği,2 + 1,95 m,Sıfır Bina,10. Kat,"199,900","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",6 Ekim 2020
Daire,esenyurt dumankaya satılık modern vadide 1+1 daire,1 + 1,66 m,Sıfır Bina,5. Kat,"349,000","Başakşehir, Bahçeşehir 2. Kısım Mahallesi",9 Ekim 2020
Daire,keypoint&mall of istanbul 79m2 full eşyalı 1+1 for sale,1 + 1,79 m,5 Yaşında,21 ve üzeri,"800,000","Başakşehir, İkitelli OSB Mahallesi",10 Ekim 2020
Daire,ağaoğlu my world europe'de satılık 3+1 daire,3 + 1,169 m,7 Yaşında,Villa Katı,"1,250,000","Başakşehir, Ziya Gökalp Mahallesi",23 Eylül 2020
